Accession,Coverage,SeqLength,MW,Description,CountsTot,UniqueTot,Tyrs+Azy,Tyrs-Azy,WT+Azy,WT-Azy
sp|P50446|K2C6A_MOUSE,12.7,553,59334,"Keratin, type II cytoskeletal 6A OS=Mus musculus (Mouse) OX=10090 GN=Krt6a PE=1 SV=3",13,0,4,5,4,0
sp|P50516|VATA_MOUSE,26.6,617,68325,V-type proton ATPase catalytic subunit A OS=Mus musculus (Mouse) OX=10090 GN=Atp6v1a PE=1 SV=2,18,18,18,0,0,0
sp|P50518|VATE1_MOUSE,15,226,26157,V-type proton ATPase subunit E 1 OS=Mus musculus (Mouse) OX=10090 GN=Atp6v1e1 PE=1 SV=2,5,5,5,0,0,0
sp|P50544|ACADV_MOUSE,5.9,656,70875,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Acadvl PE=1 SV=3",2,2,2,0,0,0
sp|P50580|PA2G4_MOUSE,11.4,394,43698,Proliferation-associated protein 2G4 OS=Mus musculus (Mouse) OX=10090 GN=Pa2g4 PE=1 SV=3,6,6,4,0,2,0
sp|P51150|RAB7A_MOUSE,69.1,207,23489,Ras-related protein Rab-7a OS=Mus musculus (Mouse) OX=10090 GN=Rab7a PE=1 SV=2,35,35,15,7,5,8
sp|P51174|ACADL_MOUSE,14.9,430,47907,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Acadl PE=1 SV=2",9,9,5,1,2,1
sp|P51410|RL9_MOUSE,10.9,192,21881,60S ribosomal protein L9 OS=Mus musculus (Mouse) OX=10090 GN=Rpl9 PE=2 SV=2,3,3,2,0,0,1
tr|A0A140T8T4|A0A140T8T4_MOUSE,10.9,192,21853,"Ribosomal protein L9, pseudogene 6 OS=Mus musculus (Mouse) OX=10090 GN=Rpl9-ps6 PE=4 SV=1",3,3,2,0,0,1
sp|P51660|DHB4_MOUSE,9,735,79481,Peroxisomal multifunctional enzyme type 2 OS=Mus musculus (Mouse) OX=10090 GN=Hsd17b4 PE=1 SV=3,5,5,5,0,0,0
sp|P51863|VA0D1_MOUSE,36.8,351,40301,V-type proton ATPase subunit d 1 OS=Mus musculus (Mouse) OX=10090 GN=Atp6v0d1 PE=1 SV=2,13,13,11,1,1,0
sp|P51881|ADT2_MOUSE,42.6,298,32931,ADP/ATP translocase 2 OS=Mus musculus (Mouse) OX=10090 GN=Slc25a5 PE=1 SV=3,30,17,14,5,5,6
sp|P51912|AAAT_MOUSE,12.7,553,58482,Neutral amino acid transporter B(0) OS=Mus musculus (Mouse) OX=10090 GN=Slc1a5 PE=1 SV=2,14,14,3,1,3,7
sp|P52019|ERG1_MOUSE,9.4,572,63769,Squalene monooxygenase OS=Mus musculus (Mouse) OX=10090 GN=Sqle PE=2 SV=1,9,9,4,0,3,2
sp|P52293|IMA1_MOUSE,9.1,529,57927,Importin subunit alpha-1 OS=Mus musculus (Mouse) OX=10090 GN=Kpna2 PE=1 SV=2,5,5,4,0,0,1
sp|P52332|JAK1_MOUSE,13.7,1153,133366,Tyrosine-protein kinase JAK1 OS=Mus musculus (Mouse) OX=10090 GN=Jak1 PE=1 SV=1,34,34,4,9,9,12
sp|P52480|KPYM_MOUSE,63.7,531,57844,Pyruvate kinase PKM OS=Mus musculus (Mouse) OX=10090 GN=Pkm PE=1 SV=4,82,82,42,8,16,16
sp|P53026|RL10A_MOUSE,24,217,24916,60S ribosomal protein L10a OS=Mus musculus (Mouse) OX=10090 GN=Rpl10a PE=1 SV=3,11,11,8,0,2,1
sp|P53395|ODB2_MOUSE,4.4,482,53246,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Dbt PE=1 SV=2",3,3,2,0,1,0
sp|P53569|CEBPZ_MOUSE,3.7,1052,120261,CCAAT/enhancer-binding protein zeta OS=Mus musculus (Mouse) OX=10090 GN=Cebpz PE=1 SV=2,3,3,3,0,0,0
sp|P53994|RAB2A_MOUSE,18.9,212,23547,Ras-related protein Rab-2A OS=Mus musculus (Mouse) OX=10090 GN=Rab2a PE=1 SV=1,3,3,3,0,0,0
sp|P53995|APC1_MOUSE,11.2,1944,215991,Anaphase-promoting complex subunit 1 OS=Mus musculus (Mouse) OX=10090 GN=Anapc1 PE=1 SV=2,31,31,4,0,12,15
sp|P53996|CNBP_MOUSE,16.9,178,19592,Cellular nucleic acid-binding protein OS=Mus musculus (Mouse) OX=10090 GN=Cnbp PE=1 SV=2,6,6,3,1,1,1
sp|P54071|IDHP_MOUSE,22.8,452,50906,"Isocitrate dehydrogenase [NADP], mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Idh2 PE=1 SV=3",12,11,9,0,1,2
sp|P54276|MSH6_MOUSE,16,1358,151082,DNA mismatch repair protein Msh6 OS=Mus musculus (Mouse) OX=10090 GN=Msh6 PE=1 SV=3,24,24,1,0,11,12
sp|P54728|RD23B_MOUSE,7,416,43512,UV excision repair protein RAD23 homolog B OS=Mus musculus (Mouse) OX=10090 GN=Rad23b PE=1 SV=2,2,2,2,0,0,0
sp|P54775|PRS6B_MOUSE,24.4,418,47408,26S proteasome regulatory subunit 6B OS=Mus musculus (Mouse) OX=10090 GN=Psmc4 PE=1 SV=2,7,6,7,0,0,0
sp|P54823|DDX6_MOUSE,22.4,483,54191,Probable ATP-dependent RNA helicase DDX6 OS=Mus musculus (Mouse) OX=10090 GN=Ddx6 PE=1 SV=1,10,10,8,0,1,1
sp|P54923|ADPRH_MOUSE,12.7,362,40068,[Protein ADP-ribosylarginine] hydrolase OS=Mus musculus (Mouse) OX=10090 GN=Adprh PE=1 SV=1,3,3,3,0,0,0
sp|P55012|S12A2_MOUSE,4.7,1205,131032,Solute carrier family 12 member 2 OS=Mus musculus (Mouse) OX=10090 GN=Slc12a2 PE=1 SV=2,8,8,0,1,3,4
sp|P55096|ABCD3_MOUSE,16.4,659,75474,ATP-binding cassette sub-family D member 3 OS=Mus musculus (Mouse) OX=10090 GN=Abcd3 PE=1 SV=2,20,20,9,1,5,5
sp|P56395|CYB5_MOUSE,32.1,134,15241,Cytochrome b5 OS=Mus musculus (Mouse) OX=10090 GN=Cyb5a PE=1 SV=2,4,4,4,0,0,0
sp|P56399|UBP5_MOUSE,20.5,858,95832,Ubiquitin carboxyl-terminal hydrolase 5 OS=Mus musculus (Mouse) OX=10090 GN=Usp5 PE=1 SV=1,13,13,10,0,1,2
sp|P56480|ATPB_MOUSE,54.4,529,56300,"ATP synthase subunit beta, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Atp5f1b PE=1 SV=2",27,27,25,1,1,0
sp|P56959|FUS_MOUSE,10.6,518,52673,RNA-binding protein FUS OS=Mus musculus (Mouse) OX=10090 GN=Fus PE=1 SV=1,7,1,4,0,1,2
sp|P57759|ERP29_MOUSE,9.2,262,28823,Endoplasmic reticulum resident protein 29 OS=Mus musculus (Mouse) OX=10090 GN=Erp29 PE=1 SV=2,2,2,2,0,0,0
sp|P57776|EF1D_MOUSE,25.6,281,31293,Elongation factor 1-delta OS=Mus musculus (Mouse) OX=10090 GN=Eef1d PE=1 SV=3,8,4,5,1,1,1
sp|P57780|ACTN4_MOUSE,31,912,104976,Alpha-actinin-4 OS=Mus musculus (Mouse) OX=10090 GN=Actn4 PE=1 SV=1,34,19,24,1,5,4
sp|P58021|TM9S2_MOUSE,17.8,662,75329,Transmembrane 9 superfamily member 2 OS=Mus musculus (Mouse) OX=10090 GN=Tm9sf2 PE=1 SV=1,30,30,8,1,9,12
sp|P58252|EF2_MOUSE,48.3,858,95313,Elongation factor 2 OS=Mus musculus (Mouse) OX=10090 GN=Eef2 PE=1 SV=2,92,91,42,8,23,19
sp|P58355|S45A2_MOUSE,6.8,530,57961,Membrane-associated transporter protein OS=Mus musculus (Mouse) OX=10090 GN=Slc45a2 PE=1 SV=1,14,14,3,2,4,5
sp|P58389|PTPA_MOUSE,7.1,323,36710,Serine/threonine-protein phosphatase 2A activator OS=Mus musculus (Mouse) OX=10090 GN=Ptpa PE=1 SV=1,2,2,0,0,0,2
sp|P58742|AAAS_MOUSE,7,546,59430,Aladin OS=Mus musculus (Mouse) OX=10090 GN=Aaas PE=1 SV=1,5,5,1,0,3,1
sp|P59110|SENP1_MOUSE,4.2,640,72510,Sentrin-specific protease 1 OS=Mus musculus (Mouse) OX=10090 GN=Senp1 PE=1 SV=1,2,2,0,0,0,2
sp|P59325|IF5_MOUSE,11.2,429,48968,Eukaryotic translation initiation factor 5 OS=Mus musculus (Mouse) OX=10090 GN=Eif5 PE=1 SV=1,4,4,4,0,0,0
sp|P59708|SF3B6_MOUSE,32,125,14585,Splicing factor 3B subunit 6 OS=Mus musculus (Mouse) OX=10090 GN=Sf3b6 PE=1 SV=1,3,3,3,0,0,0
sp|P59999|ARPC4_MOUSE,11.3,168,19667,Actin-related protein 2/3 complex subunit 4 OS=Mus musculus (Mouse) OX=10090 GN=Arpc4 PE=1 SV=3,2,2,2,0,0,0
sp|P60122|RUVB1_MOUSE,19.3,456,50213,RuvB-like 1 OS=Mus musculus (Mouse) OX=10090 GN=Ruvbl1 PE=1 SV=1,9,9,8,0,1,0
sp|P60229|EIF3E_MOUSE,23.4,445,52220,Eukaryotic translation initiation factor 3 subunit E OS=Mus musculus (Mouse) OX=10090 GN=Eif3e PE=1 SV=1,11,11,10,0,1,0
sp|P60335|PCBP1_MOUSE,26.4,356,37497,Poly(rC)-binding protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Pcbp1 PE=1 SV=1,17,12,4,2,6,5
sp|P60670|NPL4_MOUSE,5.3,608,68016,Nuclear protein localization protein 4 homolog OS=Mus musculus (Mouse) OX=10090 GN=Nploc4 PE=1 SV=3,2,2,2,0,0,0
sp|P60710|ACTB_MOUSE,53.3,375,41736,"Actin, cytoplasmic 1 OS=Mus musculus (Mouse) OX=10090 GN=Actb PE=1 SV=1",97,51,68,8,8,13
sp|P63260|ACTG_MOUSE,53.3,375,41792,"Actin, cytoplasmic 2 OS=Mus musculus (Mouse) OX=10090 GN=Actg1 PE=1 SV=1",97,51,68,8,8,13
sp|P60762|MO4L1_MOUSE,7.2,362,41492,Mortality factor 4-like protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Morf4l1 PE=1 SV=2,2,2,2,0,0,0
sp|P60766|CDC42_MOUSE,14.7,191,21258,Cell division control protein 42 homolog OS=Mus musculus (Mouse) OX=10090 GN=Cdc42 PE=1 SV=2,4,4,3,0,1,0
sp|P60843|IF4A1_MOUSE,38.4,406,46153,Eukaryotic initiation factor 4A-I OS=Mus musculus (Mouse) OX=10090 GN=Eif4a1 PE=1 SV=1,32,17,25,1,3,3
sp|P61027|RAB10_MOUSE,20,200,22541,Ras-related protein Rab-10 OS=Mus musculus (Mouse) OX=10090 GN=Rab10 PE=1 SV=1,12,2,7,2,2,1
sp|P61082|UBC12_MOUSE,13.7,183,20900,NEDD8-conjugating enzyme Ubc12 OS=Mus musculus (Mouse) OX=10090 GN=Ube2m PE=1 SV=1,2,2,2,0,0,0
sp|P61087|UBE2K_MOUSE,12.5,200,22406,Ubiquitin-conjugating enzyme E2 K OS=Mus musculus (Mouse) OX=10090 GN=Ube2k PE=1 SV=3,2,2,2,0,0,0
sp|P61089|UBE2N_MOUSE,11.2,152,17138,Ubiquitin-conjugating enzyme E2 N OS=Mus musculus (Mouse) OX=10090 GN=Ube2n PE=1 SV=1,4,4,2,0,1,1
sp|P61161|ARP2_MOUSE,19.8,394,44760,Actin-related protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Actr2 PE=1 SV=1,9,9,9,0,0,0
sp|P61164|ACTZ_MOUSE,14.6,376,42613,Alpha-centractin OS=Mus musculus (Mouse) OX=10090 GN=Actr1a PE=1 SV=1,4,2,4,0,0,0
sp|P61202|CSN2_MOUSE,14.7,443,51596,COP9 signalosome complex subunit 2 OS=Mus musculus (Mouse) OX=10090 GN=Cops2 PE=1 SV=1,5,5,5,0,0,0
sp|P61205|ARF3_MOUSE,41.4,181,20601,ADP-ribosylation factor 3 OS=Mus musculus (Mouse) OX=10090 GN=Arf3 PE=2 SV=2,5,1,5,0,0,0
sp|P84078|ARF1_MOUSE,41.4,181,20697,ADP-ribosylation factor 1 OS=Mus musculus (Mouse) OX=10090 GN=Arf1 PE=1 SV=2,5,1,5,0,0,0
sp|P61211|ARL1_MOUSE,18.8,181,20411,ADP-ribosylation factor-like protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Arl1 PE=1 SV=1,3,3,3,0,0,0
sp|P61222|ABCE1_MOUSE,15.5,599,67314,ATP-binding cassette sub-family E member 1 OS=Mus musculus (Mouse) OX=10090 GN=Abce1 PE=1 SV=1,12,12,4,1,5,2
sp|P61226|RAP2B_MOUSE,12,183,20504,Ras-related protein Rap-2b OS=Mus musculus (Mouse) OX=10090 GN=Rap2b PE=1 SV=1,5,4,2,1,1,1
sp|P61290|PSME3_MOUSE,22.4,254,29506,Proteasome activator complex subunit 3 OS=Mus musculus (Mouse) OX=10090 GN=Psme3 PE=1 SV=1,5,5,5,0,0,0
sp|P61358|RL27_MOUSE,42.6,136,15798,60S ribosomal protein L27 OS=Mus musculus (Mouse) OX=10090 GN=Rpl27 PE=1 SV=2,17,17,4,2,7,4
sp|P61620|S61A1_MOUSE,6.5,476,52264,Protein transport protein Sec61 subunit alpha isoform 1 OS=Mus musculus (Mouse) OX=10090 GN=Sec61a1 PE=1 SV=2,4,4,1,0,2,1
sp|P61750|ARF4_MOUSE,39.4,180,20396,ADP-ribosylation factor 4 OS=Mus musculus (Mouse) OX=10090 GN=Arf4 PE=1 SV=2,7,3,5,0,1,1
sp|P61759|PFD3_MOUSE,11.7,196,22435,Prefoldin subunit 3 OS=Mus musculus (Mouse) OX=10090 GN=Vbp1 PE=1 SV=2,2,2,2,0,0,0
sp|P61979|HNRPK_MOUSE,36.1,463,50976,Heterogeneous nuclear ribonucleoprotein K OS=Mus musculus (Mouse) OX=10090 GN=Hnrnpk PE=1 SV=1,48,48,12,5,13,18
sp|P61982|1433G_MOUSE,20.6,247,28302,14-3-3 protein gamma OS=Mus musculus (Mouse) OX=10090 GN=Ywhag PE=1 SV=2,24,3,14,2,4,4
sp|P62137|PP1A_MOUSE,28.5,330,37540,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Mus musculus (Mouse) OX=10090 GN=Ppp1ca PE=1 SV=1,17,3,8,1,3,5
sp|P62141|PP1B_MOUSE,35.2,327,37186,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Mus musculus (Mouse) OX=10090 GN=Ppp1cb PE=1 SV=3,19,4,8,1,3,7
sp|P62192|PRS4_MOUSE,18.2,440,49184,26S proteasome regulatory subunit 4 OS=Mus musculus (Mouse) OX=10090 GN=Psmc1 PE=1 SV=1,8,8,5,0,2,1
sp|P62242|RS8_MOUSE,41.8,208,24205,40S ribosomal protein S8 OS=Mus musculus (Mouse) OX=10090 GN=Rps8 PE=1 SV=2,45,45,9,8,14,14
sp|P62245|RS15A_MOUSE,30.8,130,14839,40S ribosomal protein S15a OS=Mus musculus (Mouse) OX=10090 GN=Rps15a PE=1 SV=2,10,10,1,2,3,4
sp|P62259|1433E_MOUSE,42,255,29174,14-3-3 protein epsilon OS=Mus musculus (Mouse) OX=10090 GN=Ywhae PE=1 SV=1,37,16,21,4,6,6
sp|P62267|RS23_MOUSE,26.6,143,15807,40S ribosomal protein S23 OS=Mus musculus (Mouse) OX=10090 GN=Rps23 PE=1 SV=3,7,7,2,1,3,1
sp|P62270|RS18_MOUSE,19.1,152,17718,40S ribosomal protein S18 OS=Mus musculus (Mouse) OX=10090 GN=Rps18 PE=1 SV=3,6,6,3,0,1,2
tr|A0A1Y7VKY1|A0A1Y7VKY1_MOUSE,19.1,152,17748,"Ribosomal protein S18, pseudogene 5 OS=Mus musculus (Mouse) OX=10090 GN=Rps18-ps5 PE=3 SV=1",6,6,3,0,1,2
tr|F6YVP7|F6YVP7_MOUSE,19.1,152,17671,"Ribosomal protein S18, pseudogene 6 OS=Mus musculus (Mouse) OX=10090 GN=Rps18-ps6 PE=3 SV=2",6,6,3,0,1,2
sp|P62281|RS11_MOUSE,33.5,158,18431,40S ribosomal protein S11 OS=Mus musculus (Mouse) OX=10090 GN=Rps11 PE=1 SV=3,11,11,6,1,2,2
sp|P62301|RS13_MOUSE,33.8,151,17222,40S ribosomal protein S13 OS=Mus musculus (Mouse) OX=10090 GN=Rps13 PE=1 SV=2,18,18,6,2,5,5
sp|P62320|SMD3_MOUSE,24.6,126,13916,Small nuclear ribonucleoprotein Sm D3 OS=Mus musculus (Mouse) OX=10090 GN=Snrpd3 PE=1 SV=1,4,4,2,0,1,1
sp|P62331|ARF6_MOUSE,24,175,20082,ADP-ribosylation factor 6 OS=Mus musculus (Mouse) OX=10090 GN=Arf6 PE=1 SV=2,3,2,3,0,0,0
sp|P62334|PRS10_MOUSE,11.8,389,44172,26S proteasome regulatory subunit 10B OS=Mus musculus (Mouse) OX=10090 GN=Psmc6 PE=1 SV=1,3,3,3,0,0,0
sp|P62631|EF1A2_MOUSE,14,463,50454,Elongation factor 1-alpha 2 OS=Mus musculus (Mouse) OX=10090 GN=Eef1a2 PE=1 SV=1,30,1,16,2,8,4
sp|P62702|RS4X_MOUSE,32.3,263,29597,"40S ribosomal protein S4, X isoform OS=Mus musculus (Mouse) OX=10090 GN=Rps4x PE=1 SV=2",14,14,7,1,2,4
sp|P62715|PP2AB_MOUSE,41.4,309,35575,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform OS=Mus musculus (Mouse) OX=10090 GN=Ppp2cb PE=1 SV=1,21,1,8,2,5,6
sp|P62717|RL18A_MOUSE,24.4,176,20732,60S ribosomal protein L18a OS=Mus musculus (Mouse) OX=10090 GN=Rpl18a PE=1 SV=1,17,17,5,3,5,4
sp|P62751|RL23A_MOUSE,19.9,156,17695,60S ribosomal protein L23a OS=Mus musculus (Mouse) OX=10090 GN=Rpl23a PE=1 SV=1,6,6,2,1,1,2
sp|P62754|RS6_MOUSE,15.7,249,28680,40S ribosomal protein S6 OS=Mus musculus (Mouse) OX=10090 GN=Rps6 PE=1 SV=1,13,13,4,1,4,4
sp|P62806|H4_MOUSE,41.7,103,11367,Histone H4 OS=Mus musculus (Mouse) OX=10090 GN=H4c9 PE=1 SV=2,42,42,15,8,11,8
sp|P62814|VATB2_MOUSE,24.1,511,56550,"V-type proton ATPase subunit B, brain isoform OS=Mus musculus (Mouse) OX=10090 GN=Atp6v1b2 PE=1 SV=1",9,9,8,0,1,0
sp|P62821|RAB1A_MOUSE,33.2,205,22677,Ras-related protein Rab-1A OS=Mus musculus (Mouse) OX=10090 GN=Rab1A PE=1 SV=3,15,2,8,3,2,2
sp|P62827|RAN_MOUSE,30.6,216,24423,GTP-binding nuclear protein Ran OS=Mus musculus (Mouse) OX=10090 GN=Ran PE=1 SV=3,10,10,6,1,1,2
sp|P62830|RL23_MOUSE,30.7,140,14865,60S ribosomal protein L23 OS=Mus musculus (Mouse) OX=10090 GN=Rpl23 PE=1 SV=1,6,6,3,1,1,1
sp|P62835|RAP1A_MOUSE,17.9,184,20987,Ras-related protein Rap-1A OS=Mus musculus (Mouse) OX=10090 GN=Rap1a PE=1 SV=1,4,4,3,0,0,1
sp|Q99JI6|RAP1B_MOUSE,17.9,184,20825,Ras-related protein Rap-1b OS=Mus musculus (Mouse) OX=10090 GN=Rap1b PE=1 SV=2,4,4,3,0,0,1
sp|P62849|RS24_MOUSE,28.6,133,15423,40S ribosomal protein S24 OS=Mus musculus (Mouse) OX=10090 GN=Rps24 PE=1 SV=1,5,5,3,0,2,0
sp|P62852|RS25_MOUSE,22.4,125,13742,40S ribosomal protein S25 OS=Mus musculus (Mouse) OX=10090 GN=Rps25 PE=1 SV=1,9,9,3,2,2,2
sp|P62855|RS26_MOUSE,23.5,115,13015,40S ribosomal protein S26 OS=Mus musculus (Mouse) OX=10090 GN=Rps26 PE=1 SV=3,5,5,2,1,1,1
sp|P62874|GBB1_MOUSE,27.1,340,37377,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Mus musculus (Mouse) OX=10090 GN=Gnb1 PE=1 SV=3,10,9,2,1,3,4
sp|P62880|GBB2_MOUSE,37.9,340,37331,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Mus musculus (Mouse) OX=10090 GN=Gnb2 PE=1 SV=3,15,14,4,2,5,4
sp|P62889|RL30_MOUSE,33.9,115,12784,60S ribosomal protein L30 OS=Mus musculus (Mouse) OX=10090 GN=Rpl30 PE=1 SV=2,7,7,4,0,2,1
sp|P62908|RS3_MOUSE,39.5,243,26674,40S ribosomal protein S3 OS=Mus musculus (Mouse) OX=10090 GN=Rps3 PE=1 SV=1,22,22,12,2,3,5
sp|P62918|RL8_MOUSE,17.9,257,28024,60S ribosomal protein L8 OS=Mus musculus (Mouse) OX=10090 GN=Rpl8 PE=1 SV=2,4,4,0,0,2,2
sp|P62960|YBOX1_MOUSE,9.3,322,35730,Y-box-binding protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Ybx1 PE=1 SV=3,5,2,3,0,1,1
sp|P62962|PROF1_MOUSE,35.7,140,14957,Profilin-1 OS=Mus musculus (Mouse) OX=10090 GN=Pfn1 PE=1 SV=2,14,14,4,3,4,3
sp|P62983|RS27A_MOUSE,28.2,156,17951,Ubiquitin-40S ribosomal protein S27a OS=Mus musculus (Mouse) OX=10090 GN=Rps27a PE=1 SV=2,16,16,3,4,4,5
sp|P62996|TRA2B_MOUSE,10.4,288,33665,Transformer-2 protein homolog beta OS=Mus musculus (Mouse) OX=10090 GN=Tra2b PE=1 SV=1,2,2,2,0,0,0
sp|P63001|RAC1_MOUSE,24.5,192,21450,Ras-related C3 botulinum toxin substrate 1 OS=Mus musculus (Mouse) OX=10090 GN=Rac1 PE=1 SV=1,9,9,3,1,2,3
sp|P63005|LIS1_MOUSE,16.1,410,46670,Platelet-activating factor acetylhydrolase IB subunit alpha OS=Mus musculus (Mouse) OX=10090 GN=Pafah1b1 PE=1 SV=2,6,4,5,0,0,1
sp|P63017|HSP7C_MOUSE,44.1,646,70870,Heat shock cognate 71 kDa protein OS=Mus musculus (Mouse) OX=10090 GN=Hspa8 PE=1 SV=1,144,131,64,18,30,32
sp|P63028|TCTP_MOUSE,31.4,172,19462,Translationally-controlled tumor protein OS=Mus musculus (Mouse) OX=10090 GN=Tpt1 PE=1 SV=1,7,7,6,0,0,1
sp|P63037|DNJA1_MOUSE,28.2,397,44868,DnaJ homolog subfamily A member 1 OS=Mus musculus (Mouse) OX=10090 GN=Dnaja1 PE=1 SV=1,15,15,8,2,2,3
sp|P63038|CH60_MOUSE,38.7,573,60955,"60 kDa heat shock protein, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Hspd1 PE=1 SV=1",34,34,21,2,4,7
sp|P63085|MK01_MOUSE,29.9,358,41275,Mitogen-activated protein kinase 1 OS=Mus musculus (Mouse) OX=10090 GN=Mapk1 PE=1 SV=3,10,7,10,0,0,0
sp|P63087|PP1G_MOUSE,32.2,323,36983,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Mus musculus (Mouse) OX=10090 GN=Ppp1cc PE=1 SV=1,22,6,9,1,3,9
sp|P63101|1433Z_MOUSE,32.2,245,27771,14-3-3 protein zeta/delta OS=Mus musculus (Mouse) OX=10090 GN=Ywhaz PE=1 SV=1,37,16,17,3,9,8
sp|P63154|CRNL1_MOUSE,3.5,690,83415,Crooked neck-like protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Crnkl1 PE=1 SV=1,2,2,2,0,0,0
sp|P63158|HMGB1_MOUSE,18.6,215,24893,High mobility group protein B1 OS=Mus musculus (Mouse) OX=10090 GN=Hmgb1 PE=1 SV=2,13,13,5,1,3,4
sp|P63166|SUMO1_MOUSE,18.8,101,11557,Small ubiquitin-related modifier 1 OS=Mus musculus (Mouse) OX=10090 GN=Sumo1 PE=1 SV=1,5,5,2,0,1,2
sp|P63242|IF5A1_MOUSE,46.8,154,16832,Eukaryotic translation initiation factor 5A-1 OS=Mus musculus (Mouse) OX=10090 GN=Eif5a PE=1 SV=2,15,15,8,2,3,2
sp|P63276|RS17_MOUSE,34.1,135,15524,40S ribosomal protein S17 OS=Mus musculus (Mouse) OX=10090 GN=Rps17 PE=1 SV=2,12,12,8,0,2,2
sp|P63321|RALA_MOUSE,9.7,206,23553,Ras-related protein Ral-A OS=Mus musculus (Mouse) OX=10090 GN=Rala PE=1 SV=1,2,2,2,0,0,0
sp|P63323|RS12_MOUSE,20.5,132,14525,40S ribosomal protein S12 OS=Mus musculus (Mouse) OX=10090 GN=Rps12 PE=1 SV=2,4,4,3,0,0,1
sp|P63325|RS10_MOUSE,13.9,165,18916,40S ribosomal protein S10 OS=Mus musculus (Mouse) OX=10090 GN=Rps10 PE=1 SV=1,6,6,3,1,1,1
sp|P63328|PP2BA_MOUSE,6.1,521,58643,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform OS=Mus musculus (Mouse) OX=10090 GN=Ppp3ca PE=1 SV=1,3,3,3,0,0,0
sp|P63330|PP2AA_MOUSE,41.4,309,35608,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform OS=Mus musculus (Mouse) OX=10090 GN=Ppp2ca PE=1 SV=1,23,3,7,3,6,7
sp|P67871|CSK2B_MOUSE,19.1,215,24942,Casein kinase II subunit beta OS=Mus musculus (Mouse) OX=10090 GN=Csnk2b PE=1 SV=1,3,3,3,0,0,0
sp|P67984|RL22_MOUSE,39.1,128,14759,60S ribosomal protein L22 OS=Mus musculus (Mouse) OX=10090 GN=Rpl22 PE=1 SV=2,7,7,2,2,1,2
sp|P68033|ACTC_MOUSE,30.2,377,42019,"Actin, alpha cardiac muscle 1 OS=Mus musculus (Mouse) OX=10090 GN=Actc1 PE=1 SV=1",53,9,32,6,7,8
sp|P68134|ACTS_MOUSE,30.2,377,42051,"Actin, alpha skeletal muscle OS=Mus musculus (Mouse) OX=10090 GN=Acta1 PE=1 SV=1",53,9,32,6,7,8
sp|P68037|UB2L3_MOUSE,51.9,154,17861,Ubiquitin-conjugating enzyme E2 L3 OS=Mus musculus (Mouse) OX=10090 GN=Ube2l3 PE=1 SV=1,5,5,4,0,1,0
sp|P68040|RACK1_MOUSE,52.4,317,35076,Receptor of activated protein C kinase 1 OS=Mus musculus (Mouse) OX=10090 GN=Rack1 PE=1 SV=3,19,19,10,1,4,4
sp|P68254|1433T_MOUSE,32.2,245,27778,14-3-3 protein theta OS=Mus musculus (Mouse) OX=10090 GN=Ywhaq PE=1 SV=1,31,10,16,3,6,6
sp|P68368|TBA4A_MOUSE,41.3,448,49924,Tubulin alpha-4A chain OS=Mus musculus (Mouse) OX=10090 GN=Tuba4a PE=1 SV=1,43,1,26,3,9,5
sp|P68369|TBA1A_MOUSE,51,451,50135,Tubulin alpha-1A chain OS=Mus musculus (Mouse) OX=10090 GN=Tuba1a PE=1 SV=1,59,1,31,6,12,10
sp|P68372|TBB4B_MOUSE,60.2,445,49830,Tubulin beta-4B chain OS=Mus musculus (Mouse) OX=10090 GN=Tubb4b PE=1 SV=1,48,2,32,2,7,7
sp|P68373|TBA1C_MOUSE,51.2,449,49909,Tubulin alpha-1C chain OS=Mus musculus (Mouse) OX=10090 GN=Tuba1c PE=1 SV=1,61,1,31,7,13,10
sp|P68510|1433F_MOUSE,26.8,246,28211,14-3-3 protein eta OS=Mus musculus (Mouse) OX=10090 GN=Ywhah PE=1 SV=2,24,3,14,2,4,4
